questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is an ethical issue related to AI?","Job displacement due to automation","Increased internet speed","Better screen resolution","More social media likes",Easy,1.6,"AI automation can replace human jobs, raising ethical concerns about unemployment."
"What does the Data Protection Act 2018 regulate?","How personal data is collected and stored","Internet connection speeds","Computer hardware manufacturing","Software development methods",Easy,1.6,"The DPA 2018 ensures personal data is processed lawfully and securely."
"What is a cultural impact of social media?","Global spread of ideas and trends","Faster computer processors","Cheaper smartphones","More powerful batteries",Easy,1.6,"Social media connects cultures worldwide but may dilute local traditions."
"What is an environmental impact of e-waste?","Toxic chemicals leaching into soil","Increased internet bandwidth","Better software performance","More online storage",Easy,1.6,"Discarded electronics contain hazardous materials like lead and mercury."
"What is a privacy concern with IoT devices?","Unauthorized data collection","Slower internet speeds","Higher software costs","Better screen quality",Easy,1.6,"Smart devices often collect user data without explicit consent."
"What does the Computer Misuse Act 1990 criminalize?","Hacking and unauthorized access","Slow internet connections","Using open-source software","Buying expensive hardware",Easy,1.6,"The CMA prohibits illegal access to computer systems and data."
"What is open-source software?","Code that can be modified and shared","Software that costs money","Hardware components","Internet service providers",Easy,1.6,"Open-source licenses allow community collaboration and customization."
"What is proprietary software?","Software with restricted source code","Free community-developed tools","Computer hardware","Internet browsers",Easy,1.6,"Proprietary software is privately owned and typically requires purchase."
"What is digital divide?","Gap between those with/without tech access","Difference in screen sizes","Variety of internet browsers","Types of computer mice",Easy,1.6,"The digital divide exacerbates inequality in education and opportunities."
"What is a benefit of cloud computing?","Reduced need for local storage","More expensive hardware","Slower internet speeds","Less software variety",Easy,1.6,"Cloud services offer scalable storage but depend on internet connectivity."
"What is an ethical issue with facial recognition?","Mass surveillance concerns","Better camera quality","Faster internet","Cheaper smartphones",Medium,1.6,"Facial recognition can infringe on privacy rights and enable tracking."
"Why is the GDPR important?","Protects EU citizens' data privacy","Increases internet speed","Makes computers cheaper","Develops new software",Medium,1.6,"GDPR gives users control over their personal data and imposes strict penalties."
"What is a cultural effect of online misinformation?","Erosion of trust in institutions","Improved computer graphics","Better phone batteries","More software options",Medium,1.6,"Fake news spreads rapidly online, influencing public opinion and behavior."
"How does cryptocurrency impact the environment?","High energy consumption in mining","More internet bandwidth","Better computer screens","Cheaper hardware",Medium,1.6,"Bitcoin mining uses more electricity than some countries annually."
"What is a legal issue with pirated software?","Copyright infringement","Slower computers","Better internet","More storage",Medium,1.6,"Software piracy violates intellectual property laws and can result in fines."
"What is digital exclusion?","Lack of access to technology","Too many internet options","Old computer designs","Expensive software",Medium,1.6,"Digital exclusion limits education and job opportunities for disadvantaged groups."
"What is an advantage of open-source licenses?","Community can improve the software","Higher costs","Less security","Limited features",Medium,1.6,"Open-source allows transparency and collaboration but may lack official support."
"What is a drawback of proprietary software?","Cost and lack of customization","Too many features","Weak hardware","Slow internet",Medium,1.6,"Proprietary software often has licensing fees and closed development."
"What is planned obsolescence?","Designing products to become obsolete","Free software updates","Better internet","More storage",Medium,1.6,"Forces consumers to buy new devices, increasing e-waste."
"What is cyberbullying?","Harassment using digital technology","Slow computers","Internet outages","Software bugs",Medium,1.6,"Cyberbullying causes psychological harm, especially among teenagers."
"What is an ethical dilemma with AI decision-making?","Lack of transparency in algorithms","Better computer screens","Faster internet","More software",Hard,1.6,"AI 'black boxes' may make biased decisions without explainability."
